Date,Year,t,Flow_Rate
1-Jan,2023,0,95.904
2-Jan,2023,1,-40.608
3-Jan,2023,2,-39.658
4-Jan,2023,3,-5.616
5-Jan,2023,4,115.171
6-Jan,2023,5,166.579
7-Jan,2023,6,153.706
8-Jan,2023,7,8.467
9-Jan,2023,8,49.507
10-Jan,2023,9,196.646
11-Jan,2023,10,296.006
12-Jan,2023,11,235.008
13-Jan,2023,12,199.066
14-Jan,2023,13,223.949
15-Jan,2023,14,230.083
16-Jan,2023,15,191.03
17-Jan,2023,16,177.466
18-Jan,2023,17,100.483
19-Jan,2023,18,108.518
20-Jan,2023,19,129.6
21-Jan,2023,20,265.594
22-Jan,2023,21,35.51
23-Jan,2023,22,243.648
24-Jan,2023,23,277.344
25-Jan,2023,24,419.645
26-Jan,2023,25,512.525
27-Jan,2023,26,524.275
28-Jan,2023,27,499.478
29-Jan,2023,28,300.845
30-Jan,2023,29,480.902
31-Jan,2023,30,416.016
1-Feb,2023,31,19.44
2-Feb,2023,32,47.866
3-Feb,2023,33,99.965
4-Feb,2023,34,82.426
5-Feb,2023,35,-182.563
6-Feb,2023,36,269.741
7-Feb,2023,37,354.154
8-Feb,2023,38,326.851
9-Feb,2023,39,212.89
10-Feb,2023,40,269.827
11-Feb,2023,41,398.65
12-Feb,2023,42,187.142
13-Feb,2023,43,220.666
14-Feb,2023,44,126.144
15-Feb,2023,45,60.912
16-Feb,2023,46,-40.608
17-Feb,2023,47,45.792
18-Feb,2023,48,253.411
19-Feb,2023,49,77.674
20-Feb,2023,50,-31.709
21-Feb,2023,51,-107.309
22-Feb,2023,52,-171.418
23-Feb,2023,53,-223.344
24-Feb,2023,54,-278.381
25-Feb,2023,55,-90.979
26-Feb,2023,56,-98.323
27-Feb,2023,57,-102.816
28-Feb,2023,58,-216.346
1-Mar,2023,59,-206.496
2-Mar,2023,60,-216.346
3-Mar,2023,61,-89.338
4-Mar,2023,62,46.397
5-Mar,2023,63,90.115
6-Mar,2023,64,-538.79
7-Mar,2023,65,-356.314
8-Mar,2023,66,-245.376
9-Mar,2023,67,-415.152
10-Mar,2023,68,-408.413
11-Mar,2023,69,-252.979
12-Mar,2023,70,-221.616
13-Mar,2023,71,-196.56
14-Mar,2023,72,-473.04
15-Mar,2023,73,-196.301
16-Mar,2023,74,-82.08
17-Mar,2023,75,169.43
18-Mar,2023,76,69.898
19-Mar,2023,77,-236.563
20-Mar,2023,78,-209.952
21-Mar,2023,79,-110.592
22-Mar,2023,80,-37.066
23-Mar,2023,81,241.92
24-Mar,2023,82,363.744
25-Mar,2023,83,409.536
26-Mar,2023,84,393.12
27-Mar,2023,85,-49.507
28-Mar,2023,86,-279.072
29-Mar,2023,87,-260.496
30-Mar,2023,88,-113.098
31-Mar,2023,89,153.274
1-Apr,2023,90,144.72
2-Apr,2023,91,-6.912
3-Apr,2023,92,-165.802
4-Apr,2023,93,-198.374
5-Apr,2023,94,-135.302
6-Apr,2023,95,-196.474
7-Apr,2023,96,247.968
8-Apr,2023,97,526.003
9-Apr,2023,98,724.118
10-Apr,2023,99,525.226
11-Apr,2023,100,367.978
12-Apr,2023,101,314.842
13-Apr,2023,102,415.066
14-Apr,2023,103,244.426
15-Apr,2023,104,660.614
16-Apr,2023,105,654.739
17-Apr,2023,106,306.202
18-Apr,2023,107,221.011
19-Apr,2023,108,258.422
20-Apr,2023,109,352.858
21-Apr,2023,110,109.728
22-Apr,2023,111,-38.794
23-Apr,2023,112,368.928
24-Apr,2023,113,296.87
25-Apr,2023,114,16.157
26-Apr,2023,115,458.352
27-Apr,2023,116,2178.49
28-Apr,2023,117,2270.938
29-Apr,2023,118,2354.486
30-Apr,2023,119,882.749
1-May,2023,120,284.602
2-May,2023,121,-61.258
3-May,2023,122,71.712
4-May,2023,123,561.514
5-May,2023,124,698.803
6-May,2023,125,708.566
7-May,2023,126,692.15
8-May,2023,127,688.954
9-May,2023,128,602.813
10-May,2023,129,663.638
11-May,2023,130,652.925
12-May,2023,131,391.306
13-May,2023,132,528.422
14-May,2023,133,604.8
15-May,2023,134,414.979
16-May,2023,135,352.08
17-May,2023,136,419.731
18-May,2023,137,561.686
19-May,2023,138,639.965
20-May,2023,139,975.024
21-May,2023,140,991.354
22-May,2023,141,699.581
23-May,2023,142,632.275
24-May,2023,143,613.526
25-May,2023,144,655.258
26-May,2023,145,801.706
27-May,2023,146,918.864
28-May,2023,147,917.482
29-May,2023,148,701.654
30-May,2023,149,692.755
31-May,2023,150,676.426
1-Jun,2023,151,434.333
2-Jun,2023,152,391.046
3-Jun,2023,153,302.4
4-Jun,2023,154,181.267
5-Jun,2023,155,25.056
6-Jun,2023,156,391.997
7-Jun,2023,157,221.702
8-Jun,2023,158,317.693
9-Jun,2023,159,251.683
10-Jun,2023,160,462.326
11-Jun,2023,161,605.837
12-Jun,2023,162,548.381
13-Jun,2023,163,412.906
14-Jun,2023,164,427.334
15-Jun,2023,165,327.11
16-Jun,2023,166,269.136
17-Jun,2023,167,525.398
18-Jun,2023,168,593.136
19-Jun,2023,169,505.094
20-Jun,2023,170,469.066
21-Jun,2023,171,408.067
22-Jun,2023,172,281.318
23-Jun,2023,173,348.71
24-Jun,2023,174,560.39
25-Jun,2023,175,653.962
26-Jun,2023,176,535.075
27-Jun,2023,177,549.072
28-Jun,2023,178,403.92
29-Jun,2023,179,410.141
30-Jun,2023,180,340.675
1-Jul,2023,181,630.72
2-Jul,2023,182,662.947
3-Jul,2023,183,451.094
4-Jul,2023,184,488.938
5-Jul,2023,185,412.214
6-Jul,2023,186,440.208
7-Jul,2023,187,648.173
8-Jul,2023,188,827.366
9-Jul,2023,189,959.558
10-Jul,2023,190,746.496
11-Jul,2023,191,865.296
12-Jul,2023,192,824.602
13-Jul,2023,193,837.994
14-Jul,2023,194,802.656
15-Jul,2023,195,847.325
16-Jul,2023,196,903.744
17-Jul,2023,197,635.472
18-Jul,2023,198,615.859
19-Jul,2023,199,656.467
20-Jul,2023,200,839.635
21-Jul,2023,201,606.614
22-Jul,2023,202,704.938
23-Jul,2023,203,703.555
24-Jul,2023,204,618.106
25-Jul,2023,205,602.122
26-Jul,2023,206,679.709
27-Jul,2023,207,490.666
28-Jul,2023,208,475.459
29-Jul,2023,209,785.981
30-Jul,2023,210,814.493
31-Jul,2023,211,512.698
1-Aug,2023,212,247.795
2-Aug,2023,213,701.222
3-Aug,2023,214,704.678
4-Aug,2023,215,708.998
5-Aug,2023,216,818.294
6-Aug,2023,217,515.203
7-Aug,2023,218,671.069
8-Aug,2023,219,848.707
9-Aug,2023,220,858.384
10-Aug,2023,221,813.715
11-Aug,2023,222,800.669
12-Aug,2023,223,885.427
13-Aug,2023,224,776.218
14-Aug,2023,225,666.317
15-Aug,2023,226,419.04
16-Aug,2023,227,68.17
17-Aug,2023,228,118.886
18-Aug,2023,229,359.338
19-Aug,2023,230,602.122
20-Aug,2023,231,383.702
21-Aug,2023,232,677.03
22-Aug,2023,233,897.264
23-Aug,2023,234,486.778
24-Aug,2023,235,731.117
25-Aug,2023,236,582.768
26-Aug,2023,237,692.237
27-Aug,2023,238,564.192
28-Aug,2023,239,693.533
29-Aug,2023,240,616.291
30-Aug,2023,241,550.282
31-Aug,2023,242,871.43
1-Sep,2023,243,631.67
2-Sep,2023,244,658.886
3-Sep,2023,245,719.798
4-Sep,2023,246,404.006
5-Sep,2023,247,505.181
6-Sep,2023,248,194.918
7-Sep,2023,249,-18.835
8-Sep,2023,250,-50.544
9-Sep,2023,251,27.648
10-Sep,2023,252,-66.269
11-Sep,2023,253,186.278
12-Sep,2023,254,212.371
13-Sep,2023,255,227.578
14-Sep,2023,256,143.251
15-Sep,2023,257,262.829
16-Sep,2023,258,250.646
17-Sep,2023,259,235.44
18-Sep,2023,260,124.07
19-Sep,2023,261,-15.034
20-Sep,2023,262,14.947
21-Sep,2023,263,42.163
22-Sep,2023,264,-18.749
23-Sep,2023,265,63.85
24-Sep,2023,266,-5.789
25-Sep,2023,267,-162.518
26-Sep,2023,268,-170.294
27-Sep,2023,269,-257.126
28-Sep,2023,270,-308.448
29-Sep,2023,271,-230.342
30-Sep,2023,272,-62.726
1-Oct,2023,273,98.842
2-Oct,2023,274,-26.266
3-Oct,2023,275,-107.222
4-Oct,2023,276,-33.178
5-Oct,2023,277,80.093
6-Oct,2023,278,-106.186
7-Oct,2023,279,2.419
8-Oct,2023,280,247.104
9-Oct,2023,281,289.354
10-Oct,2023,282,262.742
11-Oct,2023,283,331.43
12-Oct,2023,284,327.888
13-Oct,2023,285,426.298
14-Oct,2023,286,417.571
15-Oct,2023,287,259.805
16-Oct,2023,288,-48.557
17-Oct,2023,289,-123.034
18-Oct,2023,290,-146.102
19-Oct,2023,291,-196.214
20-Oct,2023,292,-115.776
21-Oct,2023,293,101.866
22-Oct,2023,294,87.437
23-Oct,2023,295,-38.966
24-Oct,2023,296,-160.79
25-Oct,2023,297,-224.813
26-Oct,2023,298,-209.002
27-Oct,2023,299,-151.978
28-Oct,2023,300,-1.469
29-Oct,2023,301,-152.15
30-Oct,2023,302,-147.398
31-Oct,2023,303,-193.795
1-Nov,2023,304,-211.594
2-Nov,2023,305,-138.154
3-Nov,2023,306,-220.493
4-Nov,2023,307,19.786
5-Nov,2023,308,
6-Nov,2023,309,
7-Nov,2023,310,-102.73
8-Nov,2023,311,-87.437
9-Nov,2023,312,-233.885
10-Nov,2023,313,-191.376
11-Nov,2023,314,-12.01
12-Nov,2023,315,4.666
13-Nov,2023,316,-76.982
14-Nov,2023,317,-154.483
15-Nov,2023,318,
16-Nov,2023,319,
17-Nov,2023,320,
18-Nov,2023,321,
19-Nov,2023,322,
20-Nov,2023,323,
21-Nov,2023,324,
22-Nov,2023,325,52.013
23-Nov,2023,326,200.88
24-Nov,2023,327,145.843
25-Nov,2023,328,182.218
26-Nov,2023,329,94.09
27-Nov,2023,330,51.754
28-Nov,2023,331,-71.539
29-Nov,2023,332,21.427
30-Nov,2023,333,285.638
1-Dec,2023,334,291.254
2-Dec,2023,335,416.275
3-Dec,2023,336,421.114
4-Dec,2023,337,468.893
5-Dec,2023,338,424.224
6-Dec,2023,339,258.336
7-Dec,2023,340,482.371
8-Dec,2023,341,484.963
9-Dec,2023,342,664.934
10-Dec,2023,343,517.882
11-Dec,2023,344,396.23
12-Dec,2023,345,384.221
13-Dec,2023,346,414.72
14-Dec,2023,347,469.498
15-Dec,2023,348,500.515
16-Dec,2023,349,550.627
17-Dec,2023,350,455.587
18-Dec,2023,351,446.083
19-Dec,2023,352,403.142
20-Dec,2023,353,366.336
21-Dec,2023,354,480.816
22-Dec,2023,355,500.947
23-Dec,2023,356,626.314
24-Dec,2023,357,549.072
25-Dec,2023,358,475.632
26-Dec,2023,359,384.048
27-Dec,2023,360,161.395
28-Dec,2023,361,117.677
29-Dec,2023,362,357.005
30-Dec,2023,363,462.931
31-Dec,2023,364,227.405
